Angler ID,Primary Regional Monitoring Group,Secondary Regional Monitoring Group,Do Not Contact,# Volunteer Days 2007,Dates Fished 2007,2007 Total (+/-) Fishing Time (days),# Volunteer Days 2008,Dates Fished 2008,2008 Total (+/-) Fishing Time (days),# Volunteer Days 2009,Dates Fished 2009,2009 Total (+/-) Fishing Time (days),# Volunteer Days 2010,Dates Fished 2010,2010 Total (+/-) Fishing Time,# Volunteer Days 2011,Dates Fished 2011,2011 Total (+/-) Fishing Time,# Volunteer Days 2012,Dates Fished 2012,2012 Total (+/-) Fishing Time,# Volunteer Days 2013,Dates Fished 2013,2013 Total (+/-) Fishing Time,# Volunteer Days 2014,Dates Fished 2014,2014 Total (+/-) Fishing Time,# Volunteer Days 2015,Dates Fished 2015,2015 Total (+/-) Fishing Time,# Volunteer Days 2016,Dates Fished 2016,2016 Total(+/-) Fishing Time,# Volunteer Days 2017,Dates Fished 2017,2017 Total (+/-) Fishing Time (mins),# Volunteer Days 2018,Dates Fished 2018,2018 Total (+/-) Fishing Time (mins),# Volunteer Days 2019,Dates Fished 2019,2019 Total (+/-) Fishing Time (mins),# of Volunteer Days 2020,Dates Fished 2020,2020 Total (+/-) Fishing Time (mins),# Volunteer Days 2021,Dates Fished 2021,2021 Total (+/-) Fishing Time (mins)
A325,MLML,,FALSE,0,,,1,August(19),-1.008000016,1,August (11,0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A326,MLML,,FALSE,0,,,1,August(19),-2.059200048,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A327,MLML,,FALSE,0,,,1,August(19),0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A328,MLML,,FALSE,0,,,1,August(20),-6.047999859,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A329,CPOLY,,FALSE,0,,,2,"August(27), September(3,9)",0,2,"July(29), September (10)",-2.999999523,0,,,0,,,0,,,1,August (1),0,,,,,,,1,"July (26,",,1,July (18),,,,,0,,0,,,,,,
A330,MLML,,FALSE,0,,,3,"August(26), September(3,11)",-3.023999929,4,"August (3, 10), September (1, 9)",-13,1,July (14),0,2,"July (28), August (30)",-7.500000954,1,July (24),0,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A331,MLML,,TRUE,0,,,1,September(16),0,1,September (1),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A332,MLML,,FALSE,0,,,1,September(16),0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A333,MLML,,FALSE,0,,,1,September(16),0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A334,MLML,,FALSE,0,,,1,September(17),0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A335,CPOLY,,TRUE,0,,,2,"September(11,17)",0,3,"July (20), August (26), September (16)",-4.999999523,5,"July(26,27), August (3,23,31)",0,5,"August (8,10,29), September (12,14)",-3.000000954,7,"July (23,24), August (6, 8, 27, 28), September (10)",0,6,"July (24,25) August (1,5,6), September (10)",-3.300000429,6,"July (28,29) August (11, 12,19), September (2,",,,,-7,2,"July (26,) September (13",,6,"July (24, 25), August (7, 8, 28, 29)",,,,,5,";July (22, 23), September (9,10,17)",0,4,"July (13), August(24, 25), September (8)",,1,August (24),
A336,MLML,,FALSE,0,,,1,September(17),0,1,September (16),0,3,"July (26), August (3,23)",0,3,"August (8,29), September (12)",-34,2,"August (6, 27)",0,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A337,MLML,,FALSE,0,,,1,August(12),0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A338,MLML,,TRUE,0,,,2,"August(18), September(2)",-3.023999929,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A339,MLML,,FALSE,0,,,1,Aug. 19,-1.008000016,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A340,MLML,,TRUE,0,,,1,August(18),0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A341,MLML,,FALSE,0,,,2,"August(18), September(10)",-14.97599983,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A342,MLML,,TRUE,0,,,2,"August(18), September(10)",-10.94400024,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A343,MLML,,FALSE,0,,,1,August(18),0,0,,,0,,,0,,,0,,,0,,,1,"August (12,",,,,,,,,,,,,,,0,,0,1,September (1),,1,July (20),
A344,MLML,,FALSE,0,,,1,August(18),-2.447999954,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A345,MLML,,FALSE,0,,,2,"August(26),September(9)",0,2,"August (11), September (10)",0,0,,,0,,,3,"July (23), August (8), September (10)",0,4,"July (24) August(5,26), September (9)",-19,1,"August (12,",,,,-5,3,"July (26), August (9), September (12,13)",,,,,,,,0,,0,,,,,,
A346,MLML,,FALSE,0,,,1,August(26),0,1,September (9),0,1,August (30),-4.999999523,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A347,MLML,,FALSE,0,,,2,"August(26), September(10)",-2.016000032,4,"August(3, 10), September (1, 9)",-2.999999523,0,,,2,"July (28), August (30)",-4.000000477,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A348,MLML,,FALSE,0,,,2,"August(18), September(2)",-6.047999859,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A349,MLML,,FALSE,0,,,1,August(27),-3.45600009,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A350,MLML,,FALSE,0,,,1,August(27),0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A351,MLML,,TRUE,0,,,1,August(27),-3.023999929,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A352,MLML,,FALSE,0,,,1,August(27),0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A353,MLML,,FALSE,0,,,1,September(8),-2.016000032,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A354,MLML,,FALSE,0,,,1,September(9),0,2,"July (30), August (26)",0,1,September (7),0,2,"August (24), September (14)",,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A355,MLML,,TRUE,0,,,1,September(9),0,5,"August (19, 20), September (15, 16, 17)",-0.999999344,16,"July (14,15,20,21,26,27), August (2,3,16,17,23,24,30,31), September (7,8)",-3.999998808,8,"July (19,20), August (23,24,29,30), September (6,7)",-2.999999523,3,"July (30, 31), August (8)",-0.999999344,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A356,MLML,,FALSE,0,,,1,September(9),0,5,"July (21,22,23), August (19, 20)",-1.500000477,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A357,MLML,,FALSE,0,,,1,September(9),0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A358,MLML,,TRUE,0,,,1,September(9),0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A359,MLML,,TRUE,0,,,1,September(9),0,3,"July(21), August (11), September (9)",-1.998400331,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A360,MLML,,TRUE,0,,,1,September(9),0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A361,MLML,,FALSE,0,,,1,September(10),-1.008000016,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A362,MLML,,FALSE,0,,,1,September(11),0,1,August (26),-0.999999344,0,,,0,,,2,"July (23), August (8)",0,1,July (24),-0.999999344,,,,,,,,,,,,,,,,0,,0,,,,,,
A363,MLML,,FALSE,0,,,1,September(11),-5.039999962,0,,,2,"August (23,31)",-37.31666565,1,September (14),,0,,,1,September (10),-0.999999344,2,"July(29) August (11,",,,,,1,"July (26,",,,,,,,,0,,0,,,,,,
A364,MLML,,FALSE,0,,,1,September(11),-4.032000065,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A365,MLML,,FALSE,0,,,1,September(11),0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A366,MLML,,FALSE,0,,,1,September(11),0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A367,MLML,,FALSE,0,,,0,,,1,July (20),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A368,MLML,,TRUE,0,,,0,,,4,"July (20,21,22,23)",0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A369,MLML,,TRUE,0,,,0,,,1,July (20),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A370,MLML,,TRUE,0,,,0,,,8,"July (27, 28), August (13, 17, 19, 20), September (14, 16)",-6.000000477,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A371,MLML,,FALSE,0,,,0,,,1,July (27),-4.999999523,0,,,1,September (14),0,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A372,MLML,,FALSE,0,,,0,,,1,July (21),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A373,MLML,,FALSE,0,,,0,,,1,July (21),0,0,,,0,,,2,"September (19, 20)",-2.999999523,4,"August (26, 27), September (10, 16)",-0.999999344,,,,,,,,,,,,,,,,0,,0,,,,,,
A374,MLML,,FALSE,0,,,0,,,2,"July (22,23)",0,2,"August (11, 12)",0,2,"August (8, 9)",0.999999344,1,August (6),-4.5,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A375,MLML,,FALSE,0,,,0,,,2,"July (22,23)",0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A376,MLML,,FALSE,0,,,0,,,1,July (22),0,0,,,0,,,0,,,1,August (20),-1.500000477,,,,,,,,,,,,,,,,0,,0,,,,,,
A377,MLML,,FALSE,0,,,0,,,1,July (28),-0.999999344,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A378,MLML,,FALSE,0,,,0,,,1,July (28),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A379,MLML,,FALSE,0,,,0,,,3,"July (28), August (19), (September (15)",-0.999999344,0,,,1,October (10),0,0,,,1,August (14),-2.999999523,1,August (6),0,1,August (4),0,1,28-Aug,0,2,"August (10), September (14)",-3.5,3,"July (25), August (15, 21)",-9.5,2,August (7) September (11),-7,1,September (3),-1.5,,,
A380,MLML,,FALSE,0,,,0,,,5,"July (29, 30), August (19, 20), September (15,)",-11.99999905,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A381,MLML,,FALSE,0,,,0,,,1,July (29),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A382,MLML,,TRUE,0,,,0,,,1,July (29),-0.999999344,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A383,MLML,,FALSE,0,,,0,,,4,"July (29), August (12, 20), September (16)",2.999999523,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A384,MLML,,FALSE,0,,,0,,,2,"July (29), August (17)",0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A385,MLML,,FALSE,0,,,0,,,1,July (30),0,0,,,1,August (18),-0.999999344,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A386,MLML,,FALSE,0,,,0,,,2,"July (30), August (19)",0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A387,MLML,,FALSE,0,,,0,,,4,"July (30), August (18, 19, 20)",-0.999999344,8,"August (17, 18, 19, 20) September (13, 14, 15, 16)",-9,8,"August (15, 16, 17, 18), September (13, 14, 15), October (10)",-8.000000954,9,"August (14, 15, 16, 17, 23), September (4, 5, 6, 7)",-10.50000095,8,"August (12, 13, 14, 15), September (23, 24, 27, 28)",-23.5,10,"August (4, 5, 6, 7), September (2, 3, 4, 5, 17, 18)",-7.5,3,"August (3, 4)",-1,8,"Sept(6-9th, 26-29th)",-6,5,"July (17), August (7, 8, 9), September (10)",-8.5,6,"August (16, 21), September (5, 6, 7, 24)",-4.25,6,"BHT01_19,SPT01_19;August (8, 12, 14) September (17)",-24.29999924,2,"August (13, 18)",-3.299999952,4,"July (28, 29), August (18, 24)",-1.5
A388,MLML,,FALSE,0,,,0,,,1,September (14),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A389,MLML,,FALSE,0,,,0,,,2,"September (15, 17)",0,1,"August (18), September (15)",0,0,,,3,"August (14, 15, 16)",0,2,"September (23, 24)",0,,,,2,"August (3, 4)",-5.5,,,,,,,,,,0,,0,,,,,,
A390,MLML,,FALSE,0,,,0,,,1,September (15),-0.999999344,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A391,MLML,,FALSE,0,,,0,,,1,September (16),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A392,MLML,,FALSE,0,,,0,,,1,September (17),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A393,MLML,,FALSE,0,,,0,,,1,September (17),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A394,MLML,,FALSE,0,,,0,,,1,September (17),-2.999999523,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A395,MLML,,TRUE,0,,,0,,,1,September (17),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A396,MLML,,FALSE,0,,,0,,,1,September (17),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A397,MLML,,FALSE,0,,,0,,,1,August (12),-1.500000477,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A398,MLML,,FALSE,0,,,0,,,1,August (18),-0.999999344,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A399,MLML,,FALSE,0,,,0,,,1,August (18),-0.999999344,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A400,MLML,,FALSE,0,,,0,,,1,August (18),-4.000000477,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A401,MLML,,FALSE,0,,,0,,,1,August (18),0,0,"August (10, 31)",-0.999999344,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A402,MLML,,FALSE,0,,,0,,,1,August (18),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A403,MLML,,FALSE,0,,,0,,,1,August (18),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A404,MLML,BML,FALSE,0,,,0,,,1,August (20),0,2,"August (19), September (16)",-2.000000238,0,,,0,,,0,,,,,,,,,,,,,,,2,"September (18, 20)",,3,"SPT05_19,BHT04_19,SPT06_19;",0,2,"BHT03_20, BHT04_20",0,5,"BHT02_21, BHT03_21, SPT03_21, SPT05_21, BHT06_21",-5
A405,MLML,,FALSE,0,,,0,,,1,August (10),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A406,MLML,,FALSE,0,,,0,,,1,August (10),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A407,MLML,,FALSE,0,,,0,,,1,September (15),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A408,MLML,,TRUE,0,,,0,,,1,September (9),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A409,MLML,,TRUE,0,,,0,,,2,"July (20, 21)",0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A410,MLML,,FALSE,0,,,0,,,2,"July (20), August (10)",-2.000000238,1,August (2),0,0,,,1,July (30),-9.999999046,0,,,,,,,,,,,,,,,,,,0,,0,2,"August (25, 31)",,2,"July (19), August (24)",
A411,MLML,,FALSE,0,,,0,,,4,"July(21, 29), August (3, 10)",-19,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A412,MLML,,FALSE,0,,,0,,,1,July(29),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A413,MLML,,FALSE,0,,,0,,,1,August (6),-2.000000238,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A414,MLML,,FALSE,0,,,0,,,1,August (10),-4.000000477,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A415,MLML,,FALSE,0,,,0,,,1,August (11),-1.998400331,1,July (21),-2.000000238,1,August (10),0,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A416,MLML,,TRUE,0,,,0,,,1,August (11),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A417,MLML,,FALSE,0,,,0,,,0,,,5,"August (9,10, 11, 12, 17)",-4.999999523,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A418,MLML,,FALSE,0,,,0,,,0,,,1,August (10),0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A419,MLML,,FALSE,0,,,0,,,0,,,1,August (10),0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A420,MLML,,FALSE,0,,,0,,,0,,,1,August (10),0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A421,MLML,,TRUE,0,,,0,,,0,,,2,"August (10), September (14)",-0.999999344,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A422,MLML,,FALSE,0,,,0,,,0,,,1,August (12),0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A423,MLML,,FALSE,0,,,0,,,0,,,1,August (12),0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A424,MLML,,FALSE,0,,,0,,,0,,,1,August (12),0,1,September (19),-2.000000238,2,"September (18, 20)",-9,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A425,MLML,,FALSE,0,,,0,,,0,,,2,"August (17), September (15)",-2.999999523,0,,,0,,,1,August (13),-0.999999344,,,,,,,1,18-Aug,0,,,,,,,0,,0,,,,,,
A426,MLML,,FALSE,0,,,0,,,0,,,2,"August (17), September (15)",-2.999999523,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A427,MLML,,FALSE,0,,,0,,,0,,,2,"August (17), September (14)",0,0,,,0,,,0,,,1,August (5),0,1,August (5),-1,1,19-Aug,0,,,,,,,0,,0,,,,,,
A428,MLML,,FALSE,0,,,0,,,0,,,3,"August (17), September (13, 14)",2.000000238,8,"August (15, 16, 17, 18), September (13, 14, 15), October (10)",-13,9,"August (6, 14, 15, 16, 17), September (4, 5, 6, 7)",-23.66670036,4,"August (12, 13), September (23, 24)",-7,2,"August (4, 5), September (4)",-4.5,1,August (3),-11,2,"Aug-16, Aug-26",-3,,,,,,,0,,0,1,SPT03_20,-1,,,
A429,MLML,,FALSE,0,,,0,,,0,,,1,August (17),2.000000238,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A430,MLML,,FALSE,0,,,0,,,0,,,2,"August (17), September (14)",-0.499999672,0,,,2,"September (4, 6)",-0.499999672,0,,,1,August (5),0,,,,1,19-Aug,0,1,July (26),0,,,,0,,0,,,,,,
A431,MLML,,FALSE,0,,,0,,,0,,,1,August (18),0,0,,,2,"August (6, 14)",-8.5,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A432,MLML,,FALSE,0,,,0,,,0,,,1,August (18),-0.999999344,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A433,MLML,,FALSE,0,,,0,,,0,,,1,August (18),0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A434,MLML,,FALSE,0,,,0,,,0,,,2,"August (19), September (16)",-2.999999523,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A435,MLML,,FALSE,0,,,0,,,0,,,2,"August (19), September (16)",-4.000000477,1,August (15),-2.000000238,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A436,MLML,,FALSE,0,,,0,,,0,,,1,August (19),-2.999999523,1,August (15),-9.999999046,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A437,MLML,,FALSE,0,,,0,,,0,,,1,August (19),-2.000000238,1,August (18),0,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A438,MLML,,FALSE,0,,,0,,,0,,,2,"August (20), September ( 3)",-2.000000238,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A439,MLML,,FALSE,0,,,0,,,0,,,3,"August (20), September (2, 3)",-9.999999046,0,,,0,,,0,,,1,September (5),-2,,,,,,,2,"July (19), August (9)",-11,,,,0,,0,,,,,,
A440,MLML,,FALSE,0,,,0,,,0,,,2,"August (20), September (13)",0,0,,,4,"August (15, 16), September (6, 7)",-0.999999344,0,,,,,,1,August (6),-3,,,,,,,,,,0,,0,,,,,,
A441,MLML,BML,FALSE,0,,,0,,,0,,,2,"August (20), September (13)",-0.999999344,2,"September (13, 14)",,2,"September (6, 7)",0,4,"September (23, 24, 27, 28)",-0.499999672,8,"August (4, 5, 6, 7), September (2, 3, 4, 5)",-2.5,3,"August (4, 5, 6)",-4.5,4,"Aug-16,17,18;Sept-26",-1.5,7,"July (26, 27), August (8, 10), September (11, 12, 24)",-7,8,"SPT01_19,SPT02_19,SPT03_19,August (15, 16, 21), September (21),10/8",-4,3,"SPT01_19,SPT02_19,SPT03_19;",-3,4,"August (6), Septebmber (2),BHT02_20, SPT04_20",-2,6,"August (23), July (26, 27), BHT03_21, SPT03_21, BHT06_21",-2
A442,MLML,,TRUE,0,,,0,,,0,,,1,August (31),0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A443,MLML,,TRUE,0,,,0,,,0,,,2,"August (31), September (1)",-0.999999344,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A444,MLML,,FALSE,0,,,0,,,0,,,2,"August (31), September (1)",0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A445,MLML,,FALSE,0,,,0,,,0,,,1,September (1),0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A446,MLML,,FALSE,0,,,0,,,0,,,1,September (2),0,1,August (16),-0.999999344,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A447,MLML,,TRUE,0,,,0,,,0,,,1,September (2),-0.999999344,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A448,MLML,,FALSE,0,,,0,,,0,,,1,September (2),0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A449,MLML,,FALSE,0,,,0,,,0,,,1,September (2),-0.999999344,2,"September (14, 15)",-4.000000477,2,"August (14, 15)",-9.999999046,2,"August (13, 14)",-9.999999046,2,"August (4, 5)",-1,,,,,,,,,,,,,0,,0,,,,,,
A450,MLML,,FALSE,0,,,0,,,0,,,1,September (2),0,1,September (14),0,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A451,MLML,,FALSE,0,,,0,,,0,,,1,September (2),-0.999999344,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A452,MLML,,FALSE,0,,,0,,,0,,,1,September (3),0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A453,MLML,,FALSE,0,,,0,,,0,,,1,Semptember (3),0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A454,MLML,,FALSE,0,,,0,,,0,,,1,September (13),-2.000000238,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A455,MLML,,FALSE,0,,,0,,,0,,,1,September (13),0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A456,MLML,,TRUE,0,,,0,,,0,,,2,"September (14, 16)",-6.000048161,0,,,0,,,0,,,,,,,,,,,,1,September (12),-3,,,,0,,0,,,,,,
A457,MLML,,TRUE,0,,,0,,,0,,,1,September (14),0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A458,MLML,,TRUE,0,,,0,,,0,,,1,September (15),0,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
A459,MLML,,FALSE,0,,,0,,,0,,,1,September (15),0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A460,MLML,,TRUE,0,,,0,,,0,,,1,September (15),0,0,,,0,,,1,August (6),,,,,,,-1,,,,,,,,,,0,,0,,,,,,
A461,MLML,,FALSE,0,,,0,,,0,,,1,September (15),0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A462,MLML,,FALSE,0,,,0,,,0,,,1,September (15),-0.999999344,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A463,MLML,,TRUE,0,,,0,,,0,,,1,September (16),0,0,,,0,,,0,,,,,,,,,,,,1,September (14),0,,,,0,,0,,,,,,
A464,MLML,,TRUE,0,,,0,,,0,,,1,September (16),0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A465,MLML,,TRUE,0,,,0,,,0,,,1,September (16),-0.999999344,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A466,MLML,,TRUE,0,,,0,,,0,,,1,September (16),-4.000000477,1,August (15),-4.000000477,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A467,MLML,,FALSE,0,,,0,,,0,,,0,,,1,August (8),-3.500000715,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A468,MLML,,FALSE,0,,,0,,,0,,,0,,,5,"August (8, 9, 10, 11), September (19)",-55,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A469,MLML,,FALSE,0,,,0,,,0,,,0,,,6,"August (8, 9, 10, 11, 15, 18)",-4.999999523,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A470,MLML,,FALSE,0,,,0,,,0,,,0,,,3,"August (8, 9, 10)",-9,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A471,MLML,,FALSE,0,,,0,,,0,,,0,,,3,"August (10, 11), September (22)",-53,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A472,MLML,,FALSE,0,,,0,,,0,,,0,,,1,August (10),-0.999999344,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A473,MLML,,FALSE,0,,,0,,,0,,,0,,,2,"August (10, 11)",-0.999999344,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
